Algorithm,Accuracy
TruthFinder,80.0000
TruthFinder,60.0000
TruthFinder,20.0000
TruthFinder,100.0000
TruthFinder,60.0000
TruthFinder,20.0000
TruthFinder,40.0000
TruthFinder,100.0000
TruthFinder,20.0000
TruthFinder,20.0000
TruthFinder,40.0000
TruthFinder,100.0000
TruthFinder,100.0000
TruthFinder,40.0000
TruthFinder,20.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
